recorded_at,phase,scenario,service,action,stage,events,ractors,redis_connections,fiber_concurrency,fault_delay_seconds,outage_seconds,baseline_events_per_second,fault_duration_seconds,fault_injection_error,faulted_run_completed,faulted_run_seconds,faulted_failures,faulted_error_class,faulted_error_message,faulted_deliveries,faulted_event_loss,recovered,recovery_seconds,recovery_attempts,recovered_events_per_second,recovery_throughput_change_percent,recovered_deliveries,recovered_event_loss,failures,ordering_failures,ruby_version,orchestrator_version
2026-06-19T12:13:36Z,pubsub,redis_restart,redis,restart,runtime,10000,3,5,50,0.05,3.0,10817.785323537424,2.4657340710109565,,true,4.653245741996216,2059,,,7941,2059,true,6.323407504998613,1,11526.675357785569,6.553005195118229,10000,0,0,0,4.0.5,0.1.0
2026-06-19T12:13:50Z,pubsub,redis_outage,redis,outage,runtime,10000,3,5,50,0.05,3.0,11543.242527446166,5.365086721998523,,true,3.728015934000723,10000,,,0,10000,true,9.063819717004662,1,9928.892696002868,-13.985237056268089,10000,0,0,0,4.0.5,0.1.0
2026-06-19T12:14:03Z,pubsub,redis_source_outage,redis,outage,source,10000,3,5,50,0.05,3.0,10531.681281890533,5.34153826200054,,false,0.43031342900940217,0,Redis::CannotConnectError,Connection refused - connect(2) for 127.0.0.1:PORT (redis://127.0.0.1:PORT/DB),0,10000,true,9.88226020798902,1,7131.477571448035,-32.28547863757733,10000,0,0,0,4.0.5,0.1.0
