recorded_at,phase,scenario,service,action,stage,events,ractors,redis_connections,fiber_concurrency,fault_delay_seconds,outage_seconds,baseline_events_per_second,fault_duration_seconds,fault_injection_error,faulted_run_completed,faulted_run_seconds,faulted_failures,faulted_error_class,faulted_error_message,faulted_deliveries,faulted_event_loss,recovered,recovery_seconds,recovery_attempts,recovered_events_per_second,recovery_throughput_change_percent,recovered_deliveries,recovered_event_loss,failures,ordering_failures,ruby_version,orchestrator_version
2026-06-19T12:14:17Z,streams,redis_restart,redis,restart,runtime,10000,3,5,50,0.05,3.0,5027.270026601867,3.01031564999721,,true,5.030634568000096,5202,,,4798,5202,true,6.60092203199747,1,8552.099158498524,70.11417952974429,10000,0,0,0,4.0.5,0.1.0
2026-06-19T12:14:29Z,streams,redis_outage,redis,outage,runtime,10000,3,5,50,0.05,3.0,12709.04499671773,5.335117078997428,,true,3.5817403370019747,10000,,,0,10000,true,8.461530854998273,1,11260.936038376505,-11.394317658921006,10000,0,0,0,4.0.5,0.1.0
2026-06-19T12:14:41Z,streams,redis_source_outage,redis,outage,source,10000,3,5,50,0.05,3.0,8910.507482873718,5.367963576994953,,false,0.5072208679921459,0,Redis::CannotConnectError,Connection refused - connect(2) for 127.0.0.1:PORT (redis://127.0.0.1:PORT/DB),0,10000,true,8.993628744996386,1,7853.808911898401,-11.859016705909577,10000,0,0,0,4.0.5,0.1.0
